Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Mozambique,Mozambique,MZ,60.09,101.49,83.83,83.83,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 01:00:00,Mozambique,Mozambique,MZ,60.06,101.48,83.83,83.83,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 02:00:00,Mozambique,Mozambique,MZ,57.12,97.94,84.63,84.63,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 03:00:00,Mozambique,Mozambique,MZ,60.16,101.8,83.81,83.81,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 04:00:00,Mozambique,Mozambique,MZ,66.07,109.33,82.21,82.21,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 05:00:00,Mozambique,Mozambique,MZ,58.74,100.03,84.19,84.19,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 06:00:00,Mozambique,Mozambique,MZ,56.39,96.99,84.82,84.82,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 07:00:00,Mozambique,Mozambique,MZ,56.39,96.98,84.82,84.82,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 08:00:00,Mozambique,Mozambique,MZ,55.52,95.92,85.06,85.06,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 09:00:00,Mozambique,Mozambique,MZ,54.14,94.2,85.44,85.44,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 10:00:00,Mozambique,Mozambique,MZ,51.58,90.99,86.13,86.13,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 11:00:00,Mozambique,Mozambique,MZ,53.05,92.89,85.73,85.73,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 12:00:00,Mozambique,Mozambique,MZ,53.98,94.11,85.48,85.48,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 13:00:00,Mozambique,Mozambique,MZ,53.2,93.08,85.7,85.7,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 14:00:00,Mozambique,Mozambique,MZ,55.93,96.33,84.96,84.96,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 15:00:00,Mozambique,Mozambique,MZ,51.74,91.1,86.09,86.09,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 16:00:00,Mozambique,Mozambique,MZ,52.43,92.03,85.91,85.91,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 17:00:00,Mozambique,Mozambique,MZ,56.12,96.63,84.91,84.91,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 18:00:00,Mozambique,Mozambique,MZ,56.08,96.37,84.92,84.92,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 19:00:00,Mozambique,Mozambique,MZ,54.13,93.92,85.44,85.44,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 20:00:00,Mozambique,Mozambique,MZ,58.32,99.31,84.31,84.31,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 21:00:00,Mozambique,Mozambique,MZ,59.33,100.57,84.04,84.04,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 22:00:00,Mozambique,Mozambique,MZ,61.71,103.58,83.4,83.4,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 23:00:00,Mozambique,Mozambique,MZ,60.97,102.7,83.6,83.6,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 00:00:00,Mozambique,Mozambique,MZ,58.81,99.96,84.18,84.18,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 01:00:00,Mozambique,Mozambique,MZ,58.36,99.4,84.3,84.3,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 02:00:00,Mozambique,Mozambique,MZ,57.85,98.89,84.44,84.44,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 03:00:00,Mozambique,Mozambique,MZ,61.42,103.42,83.48,83.48,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 04:00:00,Mozambique,Mozambique,MZ,67.65,111.27,81.79,81.79,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 05:00:00,Mozambique,Mozambique,MZ,62.73,105.01,83.12,83.12,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 06:00:00,Mozambique,Mozambique,MZ,57.16,97.94,84.62,84.62,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 07:00:00,Mozambique,Mozambique,MZ,59.13,100.42,84.09,84.09,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 08:00:00,Mozambique,Mozambique,MZ,56.23,96.71,84.87,84.87,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 09:00:00,Mozambique,Mozambique,MZ,55.68,96.09,85.02,85.02,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 10:00:00,Mozambique,Mozambique,MZ,53.55,93.46,85.6,85.6,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 11:00:00,Mozambique,Mozambique,MZ,50.37,89.39,86.46,86.46,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 12:00:00,Mozambique,Mozambique,MZ,46.66,84.61,87.46,87.46,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 13:00:00,Mozambique,Mozambique,MZ,49.13,87.74,86.8,86.8,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 14:00:00,Mozambique,Mozambique,MZ,52.63,92.02,85.85,85.85,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 15:00:00,Mozambique,Mozambique,MZ,50.83,89.88,86.34,86.34,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 16:00:00,Mozambique,Mozambique,MZ,51.73,91.03,86.1,86.1,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 17:00:00,Mozambique,Mozambique,MZ,57.07,97.8,84.66,84.66,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 18:00:00,Mozambique,Mozambique,MZ,58.12,98.91,84.37,84.37,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 19:00:00,Mozambique,Mozambique,MZ,56.6,97.01,84.78,84.78,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 20:00:00,Mozambique,Mozambique,MZ,60.1,101.48,83.83,83.83,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 21:00:00,Mozambique,Mozambique,MZ,62.54,104.59,83.17,83.17,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 22:00:00,Mozambique,Mozambique,MZ,59.64,100.99,83.96,83.96,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 23:00:00,Mozambique,Mozambique,MZ,58.96,100.18,84.14,84.14,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-03 00:00:00,Mozambique,Mozambique,MZ,59.1,100.31,84.1,84.1,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-03 01:00:00,Mozambique,Mozambique,MZ,60.67,102.37,83.68,83.68,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-03 02:00:00,Mozambique,Mozambique,MZ,59.03,100.43,84.13,84.13,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-03 03:00:00,Mozambique,Mozambique,MZ,62.02,104.24,83.32,83.32,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-03 04:00:00,Mozambique,Mozambique,MZ,66.5,109.86,82.11,82.11,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-03 05:00:00,Mozambique,Mozambique,MZ,61.28,103.2,83.52,83.52,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-03 06:00:00,Mozambique,Mozambique,MZ,57.02,97.8,84.67,84.67,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-03 07:00:00,Mozambique,Mozambique,MZ,56.41,97.05,84.83,84.83,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-03 08:00:00,Mozambique,Mozambique,MZ,54.11,94.06,85.45,85.45,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-03 09:00:00,Mozambique,Mozambique,MZ,54.47,94.57,85.35,85.35,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-03 10:00:00,Mozambique,Mozambique,MZ,52.35,91.94,85.93,85.93,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-03 11:00:00,Mozambique,Mozambique,MZ,52.53,92.09,85.88,85.88,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-03 12:00:00,Mozambique,Mozambique,MZ,52.13,91.58,85.99,85.99,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-03 13:00:00,Mozambique,Mozambique,MZ,53.3,93.08,85.67,85.67,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-03 14:00:00,Mozambique,Mozambique,MZ,54.62,94.57,85.31,85.31,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-03 15:00:00,Mozambique,Mozambique,MZ,53.03,92.67,85.75,85.75,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-03 16:00:00,Mozambique,Mozambique,MZ,53.04,92.66,85.75,85.75,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-03 17:00:00,Mozambique,Mozambique,MZ,54.61,94.66,85.33,85.33,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-03 18:00:00,Mozambique,Mozambique,MZ,54.96,94.87,85.22,85.22,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-03 19:00:00,Mozambique,Mozambique,MZ,56.48,96.88,84.81,84.81,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-03 20:00:00,Mozambique,Mozambique,MZ,60.0,101.4,83.87,83.87,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-03 21:00:00,Mozambique,Mozambique,MZ,61.41,103.18,83.49,83.49,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-03 22:00:00,Mozambique,Mozambique,MZ,61.48,103.32,83.47,83.47,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-03 23:00:00,Mozambique,Mozambique,MZ,59.37,100.71,84.04,84.04,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-04 00:00:00,Mozambique,Mozambique,MZ,59.04,100.27,84.12,84.12,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-04 01:00:00,Mozambique,Mozambique,MZ,60.32,101.95,83.78,83.78,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-04 02:00:00,Mozambique,Mozambique,MZ,59.61,101.14,83.97,83.97,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-04 03:00:00,Mozambique,Mozambique,MZ,62.93,105.33,83.07,83.07,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-04 04:00:00,Mozambique,Mozambique,MZ,65.3,108.3,82.43,82.43,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-04 05:00:00,Mozambique,Mozambique,MZ,62.36,104.58,83.23,83.23,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-04 06:00:00,Mozambique,Mozambique,MZ,58.88,100.19,84.16,84.16,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-04 07:00:00,Mozambique,Mozambique,MZ,56.81,97.52,84.72,84.72,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-04 08:00:00,Mozambique,Mozambique,MZ,54.93,95.05,85.23,85.23,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-04 09:00:00,Mozambique,Mozambique,MZ,55.24,95.53,85.14,85.14,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-04 10:00:00,Mozambique,Mozambique,MZ,53.25,93.07,85.68,85.68,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-04 11:00:00,Mozambique,Mozambique,MZ,52.0,91.42,86.02,86.02,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-04 12:00:00,Mozambique,Mozambique,MZ,54.63,94.82,85.31,85.31,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-04 13:00:00,Mozambique,Mozambique,MZ,53.82,93.7,85.53,85.53,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-04 14:00:00,Mozambique,Mozambique,MZ,51.63,90.76,86.12,86.12,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-04 15:00:00,Mozambique,Mozambique,MZ,54.3,94.25,85.41,85.41,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-04 16:00:00,Mozambique,Mozambique,MZ,54.74,94.79,85.29,85.29,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-04 17:00:00,Mozambique,Mozambique,MZ,54.15,94.04,85.45,85.45,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-04 18:00:00,Mozambique,Mozambique,MZ,53.55,93.09,85.6,85.6,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-04 19:00:00,Mozambique,Mozambique,MZ,51.63,90.67,86.12,86.12,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-04 20:00:00,Mozambique,Mozambique,MZ,56.48,96.89,84.81,84.81,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-04 21:00:00,Mozambique,Mozambique,MZ,57.41,98.05,84.56,84.56,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-04 22:00:00,Mozambique,Mozambique,MZ,58.08,98.92,84.38,84.38,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-04 23:00:00,Mozambique,Mozambique,MZ,60.41,101.98,83.75,83.75,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-05 00:00:00,Mozambique,Mozambique,MZ,60.02,101.45,83.86,83.86,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-05 01:00:00,Mozambique,Mozambique,MZ,59.95,101.38,83.88,83.88,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-05 02:00:00,Mozambique,Mozambique,MZ,60.49,102.15,83.73,83.73,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-05 03:00:00,Mozambique,Mozambique,MZ,63.79,106.34,82.84,82.84,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-05 04:00:00,Mozambique,Mozambique,MZ,63.45,105.94,82.93,82.93,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-05 05:00:00,Mozambique,Mozambique,MZ,56.82,97.52,84.72,84.72,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-05 06:00:00,Mozambique,Mozambique,MZ,54.47,94.54,85.35,85.35,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-05 07:00:00,Mozambique,Mozambique,MZ,54.3,94.32,85.39,85.39,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-05 08:00:00,Mozambique,Mozambique,MZ,52.45,91.91,85.89,85.89,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-05 09:00:00,Mozambique,Mozambique,MZ,52.6,92.16,85.86,85.86,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-05 10:00:00,Mozambique,Mozambique,MZ,48.96,87.56,86.84,86.84,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-05 11:00:00,Mozambique,Mozambique,MZ,50.17,89.06,86.51,86.51,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-05 12:00:00,Mozambique,Mozambique,MZ,50.19,89.02,86.5,86.5,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-05 13:00:00,Mozambique,Mozambique,MZ,51.63,90.91,86.12,86.12,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-05 14:00:00,Mozambique,Mozambique,MZ,54.2,94.02,85.43,85.43,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-05 15:00:00,Mozambique,Mozambique,MZ,53.18,92.81,85.71,85.71,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-05 16:00:00,Mozambique,Mozambique,MZ,55.15,95.31,85.18,85.18,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-05 17:00:00,Mozambique,Mozambique,MZ,55.02,95.14,85.21,85.21,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-05 18:00:00,Mozambique,Mozambique,MZ,52.3,91.48,85.94,85.94,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-05 19:00:00,Mozambique,Mozambique,MZ,52.72,92.06,85.82,85.82,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-05 20:00:00,Mozambique,Mozambique,MZ,55.78,95.97,85.0,85.0,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-05 21:00:00,Mozambique,Mozambique,MZ,57.48,98.14,84.54,84.54,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-05 22:00:00,Mozambique,Mozambique,MZ,64.58,107.29,82.63,82.63,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-05 23:00:00,Mozambique,Mozambique,MZ,63.62,106.1,82.89,82.89,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-06 00:00:00,Mozambique,Mozambique,MZ,63.38,105.77,82.95,82.95,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-06 01:00:00,Mozambique,Mozambique,MZ,63.3,105.69,82.97,82.97,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-06 02:00:00,Mozambique,Mozambique,MZ,63.8,106.47,82.84,82.84,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-06 03:00:00,Mozambique,Mozambique,MZ,66.08,109.35,82.22,82.22,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-06 04:00:00,Mozambique,Mozambique,MZ,64.75,107.66,82.58,82.58,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-06 05:00:00,Mozambique,Mozambique,MZ,59.07,100.45,84.12,84.12,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-06 06:00:00,Mozambique,Mozambique,MZ,57.1,97.96,84.64,84.64,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-06 07:00:00,Mozambique,Mozambique,MZ,55.51,95.93,85.07,85.07,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-06 08:00:00,Mozambique,Mozambique,MZ,54.54,94.65,85.33,85.33,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-06 09:00:00,Mozambique,Mozambique,MZ,54.89,95.15,85.24,85.24,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-06 10:00:00,Mozambique,Mozambique,MZ,51.9,91.39,86.05,86.05,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-06 11:00:00,Mozambique,Mozambique,MZ,51.7,91.12,86.1,86.1,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-06 12:00:00,Mozambique,Mozambique,MZ,49.58,88.33,86.68,86.68,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-06 13:00:00,Mozambique,Mozambique,MZ,50.67,89.73,86.38,86.38,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-06 14:00:00,Mozambique,Mozambique,MZ,53.7,93.41,85.56,85.56,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-06 15:00:00,Mozambique,Mozambique,MZ,53.14,92.81,85.72,85.72,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-06 16:00:00,Mozambique,Mozambique,MZ,53.75,93.58,85.56,85.56,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-06 17:00:00,Mozambique,Mozambique,MZ,58.86,100.09,84.18,84.18,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-06 18:00:00,Mozambique,Mozambique,MZ,58.41,99.39,84.3,84.3,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-06 19:00:00,Mozambique,Mozambique,MZ,57.17,97.85,84.63,84.63,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-06 20:00:00,Mozambique,Mozambique,MZ,60.61,102.26,83.7,83.7,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-06 21:00:00,Mozambique,Mozambique,MZ,61.87,103.87,83.36,83.36,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-06 22:00:00,Mozambique,Mozambique,MZ,61.09,102.79,83.57,83.57,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-06 23:00:00,Mozambique,Mozambique,MZ,62.49,104.59,83.19,83.19,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-07 00:00:00,Mozambique,Mozambique,MZ,60.1,101.57,83.83,83.83,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-07 01:00:00,Mozambique,Mozambique,MZ,58.26,99.29,84.33,84.33,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-07 02:00:00,Mozambique,Mozambique,MZ,59.64,101.18,83.96,83.96,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-07 03:00:00,Mozambique,Mozambique,MZ,63.13,105.62,83.02,83.02,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-07 04:00:00,Mozambique,Mozambique,MZ,60.14,101.88,83.83,83.83,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-07 05:00:00,Mozambique,Mozambique,MZ,56.36,97.05,84.84,84.84,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-07 06:00:00,Mozambique,Mozambique,MZ,56.55,97.3,84.79,84.79,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-07 07:00:00,Mozambique,Mozambique,MZ,54.42,94.56,85.37,85.37,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-07 08:00:00,Mozambique,Mozambique,MZ,53.82,93.86,85.53,85.53,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-07 09:00:00,Mozambique,Mozambique,MZ,55.47,95.96,85.08,85.08,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
